 |WURZEL|STAMM|VERB|NOMEN|ADJEKTIV|WEITERE|KOGNATE|BEDEUTUNG|GLOSE
| deal | deal | deal -en | der Deal | | | neues Lehnwort < en. |Resultat|
| debug | debugg | debugg -en | | | | neues Lehnwort < en. | |
| deck | deck -el | deckel -n | der Deckel | | | |Meronym|
| deck | deck | deck -en | die Deck -e | | | |Instrument|
| dehn | dehn | dehn -en | die Dehn -ung | | | | |
| deich | deich | ab/aus/ein/vor- deich -en | der Deich | | | |Instrument|
| deichsel | deichsel | deichsel -n | die Deichsel | | | < germ. \*þihsl |Instrument|
| deih | ge- deih | gedeih -en | der Gedeih | | | |Resultat| "auf Gedeih und Verderben"
| delle | delle | ein- delle -n | die Delle | | | |Resultat|
| demut | demüt -ig (U) | demütig -en | | demütig | | | |
| deng | deng -el | dengel -n | der Dengel | | | < mhd. tengen "schlagen" |Instrument|
| denk | denk | denk -en | der Ge- dank -e (A) | | | | |
| depper | zer- depper | zerdepper -n | | | | ~? Topf, Depp | | "zerschlagen"
| derb | derb | ver- derb -en | | derb | | | |
| design | design | design -en | das Design | | | neues Lehnwort < en. |Resultat|
| deut | deut -lich | ver- deutlich -en | | deutlich | | ~ deuten | |
| deut | deut | deut -el -n | | | | |Diminutiv|
| deut | deut | deut -en | die Deut -ung | | | | |
| deutsch | deutsch -tum | deutschtüm -el -n (U) | das Deutschtum | | | |Analogon|
| deutsch | deutsch | ein/ver- deutsch -en | | deutsch | | | |
| dibbel | dibbel | dibbel -n | | | | | | "säen"
| dibber | dibber | dibber -n | | | | |Stimmgeräusch| "leise sprechen"
| dicht | dicht | dicht -en | | dicht | | | |
| dick | dick | dick -en | | dick | | | |
| dieb | dieb | dieb -en | der Dieb | | | |Lebewesen|
| diele | diele | diele -n | die Diele | | | |Instrument|
| dien | dien -er | diener -n | der Diener | | | |Lebewesen|
| dien | dien | dien -en | der Dien -st | | | |Resultat|
| diesel | diesel | nach/ver- diesel -n | der Diesel | | | ~ (Rudolf) Diesel |Instrument|
| dim | dimm | dimm -en | | | | neues Lehnwort < en. | |
| ding | ding -lich | ver- dinglich -en | | dinglich | | | |
| ding | ding | ding -en | das Ding | | | |Resultat|
| dip | dipp | dipp -en | | | | neues Lehnwort < en. | |
| diss | diss | diss -en | der Diss | | | neues Lehnwort < en. |Resultat|
| ditsch | ditsch | ditsch -en | | | | | |
| dock | dock | dock -en | das Dock | | | |Ort|
| doktor | doktor | dokter -n | der Doktor | | | Lehnwort < lat. doctor |Lebewesen|
| dolch | dolch | er- dolch -en | der Dolch | | | |Instrument|
