 |WURZEL|STAMM|VERB|NOMEN|ADJEKTIV|WEITERE|KOGNATE|BEDEUTUNG|GLOSE
| drieß | ver- drieß | verdrieß -en | der Verdruss (A) | | | | | "Ärger bereiten"
| drift | drift | drift -en | die Drift | | | ~ Trift |Resultat|
| drill | drill | drill -en | der Drill | | | |Resultat|
| dring | dräng (K) | dräng -el -n | | | | |Wiederholung|
| dring | dräng (K) | dräng -en | | | | | |
| dring | dring | dring -en | der Drang (A) | | | | |
| dripp | dripp | dripp -el -n | | | | ~ en. to drip |Diminutiv| "tropfen"
| droh | droh | droh -en | die Droh -ung | | | | |
| dröhn | dröhn | dröhn -en | die Dröhn -ung | | | | |
| drömmel | drömmel | drömmel -n | | | | ~ drömeln |Körperbewegung| "langsam fortbewegen"
| drop | dropp | dropp -en | | | | neues Lehnwort < en. | |
| drösel | drösel | drösel -n | | | | | | "träumen"
| dross | dross -el | drossel -n | die Drossel | | | < ie. \*trozd "Singvogel" |Lebewesen>Diminutiv|
| druck | druck | drück -en (U) | der Druck | | | |Instrument| "Kraftausübung"
| druck | druck | druck -en | der Druck | | | |Resultat| "Buchdruck"
| druck | druck | druck -s -en | | | | | | "nicht reden wollen"
| druck | ein- druck | be- eindruck -en | der Eindruck | | | |Resultat|
| drusel | drusel | drusel -n | | | | | | "schlummern"
| du | du | du -z -en | | | du | |Pronomen|
| dub | düb -el (U) | dübel -n | die Dübel | | | ~ fries. dubben "stoßen" |Meronym|
| duck | duck | duck -en | | | | neues Lehnwort < en. | |
| dudel | dudel | dudel -n | | | | ~ Dudelsack |Dinggeräusch|
| duft | duft | duft -en | der Duft | | | |Resultat|
| duld | duld | duld -en | die Ge- duld | | | | |
| dumm | dumm | ver- dumm -en | | dumm | | | |
| dümpel | dümpel | dümpel -n | | | | ~? Tümpel |Körperbewegung| "schlingern"
| dumpf | dumpf | ver- dumpft -en | | dumpf | | | |
| dung | dung | düng -en (U) | der Dung | | | |Instrument|
| dünk | dünk | dünk -en | | | | | |
| dunkel | dunkel | dunkel -n | | dunkel | | | |
| dünkel | dünkel | dünkel -n | der Dünkel | | | |Resultat|
| dünn | dünn | ver- dünn -en | | dünn | | | |
| dunst | dunst | dünst -en (U) | der Dunst | | | |Instrument|
| dunst | dunst | dunst -en | der Dunst | | | |Resultat|
| dürf | dürf | dürf -en | | | | | |
| dürr | dorr (A) | dörr -en (U) | | dürr | | | |
| dürr | dorr (A) | dorr -en | | dürr | | | |
| durst | durst | dürst -en (U) | der Durst | | | |Empfindung|
| durst | durst | durst -en | der Durst | | | |Empfindung|
| dusche | dusche | dusche -n | die Dusche | | | |Instrument|
| düse | düse | düse -n | die Düse | | | |Analogon|
| dusel | dusel | dusel -n | der Dusel | | | |Resultat| "schlummern"
| düssel | düssel | düssel -n | | | | |Stimmgeräusch| "heimlich reden"
| düster | düster | ver- düster -en | | düster | | | |
| dutz | ver- dutz | verdutz -en | | | | | | "verwundern"
| ebbe | ebbe | ebbe -n | die Ebbe | | | |Resultat|
| ebne | ebne | ebne -n | die Ebne | | | |Resultat|
| echo | echo | echo -en | das Echo | | | < gr. ēchṓ |Resultat|
| echt | un- echt | ver- unecht -en | | unecht | | | | "fälschen"
| ecke | ecke | an- ecke -n | die Ecke | | | |Ort| "versehentlich an eine Ecke stoßen"
| edel | edel | ver- edel -n | | edel | | | |
| egge | egge | egge -n | die Egge | | | |Instrument|
| ehe | ehe -lich | ehelich -en | | ehelich | | | |
| ehre | ehre | ehre -n | die Ehre | | | |Resultat|
| ei 1 | ei | ei -en | | | | ~ nl. aai |Körperbewegung| "streicheln"
| ei 2 | ei -er | eier -n | die Eier | | | |Analogon>Plural|
| eich | eich | eich -en | die Eich -ung | | | Lehnwort < lat. aequus ≠ Eiche | |
| eid | eid | be- eid -en | der Eid | | | |Resultat| "Eid leisten"
| eid | eid | be/ver- eid -ig -en | der Eid | | | |Resultat| "Eid abnehmen"
| eifer | eifer | eifer -n | der Eifer | | | |Empfindung|
| eigen | eigen | eign -en | | eigen | | | |
| eile | eile | eile -n | die Eile | | | |Resultat| "Eile haben"
| ein | ein -fach | ver- einfach -en | | einfach | | | |
| ein | ein -ig | einig -en | | einig | | ~ einen | |
| ein | ein -sam | ver- einsam -en | | einsam | | | |
| ein | ein | ein -en | | | ein | | |
| ein | ver- ein -bar | vereinbar -en | | vereinbar | | ~ ein > einen > vereinen > vereinbar | |
| ein-heit | einheit -lich | ver- einheitlich -en | | einheitlich | | | |
| einfluss | einfluss | be- einfluss -en | der Einfluss | | | Lehnwort < lat. influentia ≠ Fluss |Instrument|
| einzel | einzel | ver- einzel -n | | einzel -n | | ~ Numeral eins | |
| eis | eis | ab/ent/ver- eis -en | das Eis | | | |Resultat|
| eisen | eisen | ent- eisen -en | das Eisen | | | |Meronym|
| eitel | eitel | ver- eitel -n | | eitel | | | |
| eiter | eiter | eiter -n | der Eiter | | | ~ germ. \*aita "Geschwür" |Resultat|
| ekel | ekel | ekel -n | der Ekel | | | |Empfindung|
| elend | elend | ver- elend -en | | elend | | | |
| elend | elend | ver- elend -en | das Elend | | | |Resultat|
| email | email | email -en | die Email | | | neues Lehnwort < en. |Resultat|
| empör | empör | empör -en | | | empor | | |
| ende | ende | end -ig -en | das Ende | | | |Resultat|
| ende | ende | ende -l -n | das Ende | | | |Resultat|
| ende | ende | ende -n | das Ende | | | |Resultat|
| eng | eng -er | ver- enger -n | | enger | | | |
| eng | eng | eng -en | | eng | | ~ verengen | |
| englisch | englisch | ein- englisch -en | | englisch | | | |
| enter | enter | enter -n | | | | Lehnwort < lat. intrare | |
| er | er | er -z -en | | | er | |Pronomen|
| erbe | erbe | erbe -n | das Erbe | | | |Resultat|
| erde | erd | be- erd -ig -en | die Erde | | | |Ort|
| erde | erde | erde -n | die Erde | | | |Ort|
| ernte | ernte | ernte -n | die Ernte | | | |Resultat|
| ess | ess | ess -en | | | | ~ das Essen | |
| ester | ester | ver- ester -n | der Ester | | | 19. Jhd. Innovation "Essigäther" |Resultat|
| eumel | eumel | eumel -n | der Eumel | | | ~ |Lebewesen| "feiern"
| eumel | ömmel | be- ömmel -n | | | | ~ der Eumel |Stimmgeräusch| "lachen"
| ewig | ewig | ver- ewig -en | | ewig | | | |
| fabel | fabel | fabel -n | die Fabel | | | Lehnwort < lat. fabula |Resultat|
| fach 1 | fäch -er (U) | fächer -n | der Fächer | | | |Instrument|
| fach 1 | fach | fäch -el -n (U) | | | | ~ Fächer |Diminutiv|
| fach 1 | fach | fach -en | | | | ~ Fächer | |
| fach 2 | fach | aus- fach -en | das Fach | | | ≠ fachen |Ort|
| fack | fack | fack -en | | | | | | "hinwerfen"
| fackel | fackel | fackel -n | die Fackel | | | Lehnwort < lat. facula |Analogon| "brennen > wie eine Fackel sein" (NPI)
| fad | fad | fäd -el -n (U) | der Fad -en | | | |Instrument|
| fähig | fähig | be- fähig -en | | fähig | | | |
| fahnd | fahnd | fahnd -en | die Fahnd -ung | | | ~ finden | |
| fahr 1 | fahr | fahr -en | die Fahr -t | | | ~ en. to fare |Resultat|
| fahr 2 | ge- fahr | gefähr -d -en (U) | die Gefahr | | | ~ en. to fear |Resultat|
| fake | fake | fake -n | der Fake | | | neues Lehnwort < en. |Resultat|
| falbel | falbel | fälbel -n (U) | die Falbel | | | Lehnwort < fr. falbala |Instrument| "Rüsche"
| fall | fall | fäll -en (U) | | | | | |
| fall | fall | fall -en | der Fall | | | |Resultat|
| falsch | falsch | fälsch -en (U) | | falsch | | < lat. falsus | |
| falt | fal -z | falz -en | der Falz | | | |Resultat|
| falt | falt | fält -el -n (U) | | | | |KleineSchritte|
| falt | falt | falt -en | die Falt -e | | | |Resultat|
| fang | fang | fang -en | der Fang | | | |Resultat|
| farbe | farbe | färbe -n (U) | die Farbe | | | |Instrument|
| fasche | fasche | fasche -n | die Fasche | | | |Instrument|
| fase | fase | fase -n | die Fase | | | |Resultat| "abfasen, abkanten"
| fasel | fasel | fasel -n | | | | |Stimmgeräusch|
| faser | faser | faser -n | die Faser | | | ~ zerfasern |Resultat|
| fass | fass | fass -en | das Fass | | | |Ort|
| fass | fess -el | fessel -n | die Fessel | | | ~ fassen |Instrument|
| fast | fast | fast -en | | | | | |
| fauch | fauch | fauch -en | | | | |Tiergeräusch|
| faul | faul -enz | faulenz -en | der Faulenz | | | |Lebewesen|
| faul | faul | faul -en | | faul | | | |
| faust | faust | faust -en | die Faust | | | |Instrument|
| fax | fax | fax -en | das Fax | | | neues Lehnwort < en. |Resultat|
| fecht | fecht | fecht -en | das Ge- fecht | | | | |
| fecht | fucht -el (A) | fuchtel -n | die Fuchtel | | | ~ fechten |Analogon|
| feder | feder | feder -n | die Feder | | | ~ germ. \*feþrō |Analogon|
| feg | feg | feg -en | | | | | |
| fehde | fehde | be- fehde -n | die Fehde | | | |???| "Fehde haben"
| fehl 1 | be- fehl | befehl -en | der Befehl | | | < germ. \*felhan ~ empfehlen |???|
| fehl 1 | be- fehl | befehl -ig -en | der Befehl | | | |???| "Befehlsgewalt haben"
| fehl 2 | fehl | fehl -en | der Fehl | | | Lehnwort < fr. faillir < lat. fallere |???| "ein Fehl haben"
| fei | fei | fei -en | die Fei -ung | | | | |
| feier | feier | feier -n | die Feier | | | Lehnwort < lat. feria |Resultat|
| feil | feil | feil -sch -en | | feil | | | | "käuflich"
| feile | feile | feile -n | die Feile | | | |Instrument|
| fein | fein -er | ver- feiner -n | | feiner | | | |
| fein | fein | fein -en | | fein | | | | "Metall reinigen"
| feind | feind | ver- feind -en | der Feind | | | |Lebewesen|
| feix | feix | feix -en | | | | |Körperbewegung| "lachen"
| feme | feme | ver- feme -n | die Feme | | | |Analogon| "Freigericht > ächten"
| ferk | ferk -el | ferkel -n | das Ferkel | | | ~ nl. varken "Schwein" |Lebewesen>Diminutiv|
| fern | fern | ent- fern -en | | fern | | | |
| ferse | ferse | an- ferse -n | die Ferse | | | |Meronym|
| fertig | fertig | fertig -en | | fertig | | | |
| fest 1 | fest | fest -en | das Fest | | | |Resultat|
| fest 2 | fest | fest -ig -en | | fest | | ~ befestigen, verfestigen | |
| fett | fett | fett -en | das Fett | fett | | |Instrument|
| fetz | fetz | fetz -en | der Fetz -en | | | |Resultat|
| feucht | feucht | feucht -en | | feucht | | | |
| feudel | feudel | feudel -n | der Feudel | | | |Instrument| "wischen"
| feuer | feuer | feuer -n | das Feuer | | | ~ grk. pȳ́r |Resultat|
| fick | fick | fick -en | der Fick | | | |Resultat|
| fieber | fieber | fieber -n | das Fieber | | | Lehnwort < lat. febris |Empfindung|
| fiedel | fiedel | fiedel -n | die Fiedel | | | |Instrument|
| fieder | fieder | be- fieder -n | die Fieder | | | < germ. \*feþrō ~ Feder |Meronym|
| fiep | fiep | fiep -en | | | | |Tiergeräusch|
| fiep | fiep | fiep -s -en | | | | |Tiergeräusch|
| fier | fier | fier -en | | | | | | "Leine herunterlassen"
| fies | fies | fies -el -n | | fies | | | |
| fight | fight | fight -en | der Fight | | | neues Lehnwort < en. |Resultat|
| film | film | film -en | der Film | | | 20. Jhd. Lehnwort < en. |Resultat|
| filter | filter | filter -n | der Filter | | | ~ lat. filtrum |Instrument|
| filz | filz | filz -en | der Filz | | | |Resultat| "zu Filz werden > durchkämmen > durchsuchen"
| find | find | find -en | der Fund (A) | | | | |
| finger | finger | finger -n | der Finger | | | < ie. \*penku̯ro |Instrument|
| finster | finster | ver- finster -n | | finster | | | |
| firm | firm | firm -en | | firm | | ~ Firmung | |
| firn | firn | firn -en | | firn | | | | "wein einlagern"
| firnis | firnis | firniss -en | der Firnis | | | |Instrument|
| fisch | fisch | fisch -el -n | der Fisch | | | |Lebewesen|
| fisch | fisch | fisch -en | der Fisch | | | |Resultat|
| fissel | fissel | fissel -n | | | | | | "regnen"
| fistel | fistel | fistel -n | | | | ~ Falset |Stimmgeräusch| "hoch sprechen"
| fitt | fitt | fitt -en | | | | neues Lehnwort < en. | | "passen, ausstatten"
| fittich | fittig | be- fittig -en | der Fittich | | | |Instrument| "beflügeln"
| fitz | fitz | fitz -en | | | | ~? Filz | | "verwirren"
| fix | fix | fix -en | der Fix | | | neues Lehnwort < en. |Resultat|
| flach | flach | flach -en | | flach | | | |
| flach | flach | ver- fläch -en (U) | | flach | | | |
| flachs | flachs | flachs -en | | | | ~? der Flachs |Stimmgeräusch| "lustigen Unsinn reden"
| flack | flack | flack -en | | | | | | "unruhig brennen"
| flack | flack | flack -er -n | | | | |Lichteffekt| "unruhig brennen"
| flader | flader | flader -n | | | | | | "stehlen"
| flagge | flagge | flagge -n | die Flagge | | | |Instrument|
| flamme | flamme | ab- flämme -n (U) | die Flamme | | | |Instrument|
| flamme | flamme | flamme -n | die Flamme | | | |Resultat|
| flanke | flanke | flanke -n | die Flanke | | | |Analogon|
| flansch | flansch | flansch -en | der Flansch | | | |Instrument|
| flash | flash | flash -en | der Flash | | | neues Lehnwort < en. |Resultat|
| flatsch | flatsch | flatsch -en | | | | |Dinggeräusch|
| flatter | flatter | flatter -n | | | | |Körperbewegung|
| flau | flau | ab- flau -en | | flau | | | |
| fläz | fläz | fläz -en | der Fläz | | | |Lebewesen|
| flechte | flechte | flechte -n | die Flechte | | | |Resultat|
| fleck | fleck | be- fleck -en | der Fleck | | | |Resultat|
| fledder | fledder | fledder -n | | | | ~ zerfleddern | | "Leichen plündern"
| fledder | fleder | zer- fleder -n | | | | ~ flattern | | "abnutzen"
| flegel | flegel | flegel -n | der Flegel | | | Lehnwort < lat. flagellum |Lebewesen|
| fleh | fleh | fleh -en | die Fleh -ung | | | |Stimmgeräusch|
| flehm | flehm | flehm -en | | | | | | "Oberlippe hochziehen von Pferd"
| fleisch | fleisch | zer- fleisch -en | das Fleisch | | | |Resultat|
| fleiß | fleiß -ig | be- fleißig -en | | fleißig | | | |
| fleiß | fleiß | be- fleiß -en | der Fleiß | | | ~ beflissen |???| "sich bemühen"
| flenn | flenn | flenn -en | | | | |Stimmgeräusch| "weinen"
| fletsch | fletsch | fletsch -en | | | | | | "Zähne zeigen"
| flick | flick | flick -en | der Flick | | | ~ Flicken |Instrument|
| flieg | flieg | flieg -en | die Flieg -e | | | |Lebewesen|
| flieg | flüg -el (A) | flügel -n | der Flügel | | | ~ fliegen |Instrument|
| flieh | flieh | flieh -en | die Flucht (A) | | | | |
| fliese | fliese | fliese -n | die Fliese | | | |Instrument|
| fließ | fließ | fließ -en | der Fluss (A) | | | | |
| fließ | floß (A) | flöß -en (U) | das Floß | | | ~ fließen |Instrument|
| flimm | flimm | flimm -er -n | der Flimmer | | | < mhd. flimmen "brennen" |Lichteffekt|
| flip | flipp | flipp -en | | | | neues Lehnwort < en. | |
| flipper | flipper | flipper -n | der Flipper | | | neues Lehnwort < en. |Instrument|
| flirr | flirr | flirr -en | | | | | | "flimmern"
| flirt | flirt | flirt -en | der Flirt | | | neues Lehnwort < en. |Resultat|
| flitsch | flitsch | flitsch -en | | | | | | "flutschen"
| flitter | flitter | flitter -n | der Flitter | | | |Analogon| "glitzern"
| flitz | flitz | flitz -en | der Flitz | | | |Analogon| "bewegen schnell wie ein Pfeil"
| float | float | float -en | | | | neues Lehnwort < en. | |
| flocke | flocke | flocke -n | die Flocke | | | |Resultat|
| floh | floh | ent- floh -en | der Floh | | | |Meronym|
| floh | floh | flöh -en (U) | der Floh | | | |Meronym|
| flor | flor | um- flor -en | die Flor | | | ~ Trauerflor |Instrument|
| flöte | flöte | flöte -n | die Flöte | | | |Instrument|
| fluch | fluch | fluch -en | der Fluch | | | |Resultat|
| flucht | flücht -ig (U) | ver- flüchtig -en | | flüchtig | | | |
| flucht | flucht | flücht -en (U) | die Flucht | | | |Resultat|
| flunker | flunker | flunker -n | | | | | | "schwindeln"
| flupp | flupp | flupp -en | | | | | | "flutschen"
| fluss | flüss -ig (U) | ver- flüssig -en | | flüssig | | | |
| flüster | flüster | flüster -n | | | | |Stimmgeräusch|
| flut | flut | flut -en | die Flut | | | |Resultat|
| flutsch | flutsch | flutsch -en | | | | | |
| fohl | fohl | fohl -en | das Fohl -en | | | |Meronym|
| föhn | föhn | föhn -en | der Föhn | | | < lat. favōnius ~ Fön |Instrument|
| folg | folg | folg -en | die Folg -e | | | |Resultat| "Auswirkung der Handlung"
| folg | folg | folge -r -n | die Folge | | | |Resultat|
| follow | follow | follow -en | | | | neues Lehnwort < en. | |
| folter | folter | folter -n | die Folter | | | Lehnwort < lat. poletrus "Fohlen" |Resultat|
| fopp | fopp | fopp -en | | | | | |
| form | form | form -en | die Form | | | |Resultat|
| forsch | forsch | forsch -en | die Forsch -ung | | | ~ lat. poscere ≠ forsch < lat. fortia | |
| forst | först -er (U) | be- förster -n | der Förster | | | |Resultat>Lebewesen|
| forst | forst | auf- forst -en | der Forst | | | ~ durchforsten |Resultat|
| fort | förd -er (U) | förder -n | die Förder -ung | | fort | < ahd. furdir "weiter" ~ en. further | |
| fotz | fotz | fotz -en | | | | | | "schlagen"
| foul | foul | foul -en | das Foul | | | 20. Jhd. Lehnwort < en. |Resultat|
| fracht | fracht | be/über/ver- fracht -en | die Fracht | | | |Meronym|
| frack | frack | frack -en | | | | neues Lehnwort < en. | |
| frage | frage | frage -n | die Frage | | | |Resultat|
| frame | frame | frame -n | das Frame | | | neues Lehnwort < en. |Resultat|
| franse | franse | aus/zer- franse -n | die Franse | | | |Resultat|
| franz | franz | ver- franz -en | | | Franz | |Name| "sich verfliegen"
| franzose | franzose | französe -l -n (U) | der Franzose | | | |Lebewesen|
| fräse | fräse | fräse -n | die Fräse | | | |Instrument|
| frech | frech | er- frech -en | | frech | | | |
| frei | frei | frei -en | | frei | | | |
| fremd | fremd | be/ent/ver- fremd -en | | fremd | | | |
| fremd | fremd | fremd -el -n | | fremd | | | |
| fress | fress | fress -en | | | | ~ das Fressen | |
| frett | frett | frett -en | | | | | | "sich abmühen"
| freu | freu | freu -en | die Freu -d -e | | | |Resultat|
| freund | freund | an/be/ent- freund -en | der Freund | | | |Lebewesen|
| frevel | frevel | frevel -n | der Frevel | | | |Resultat|
| frickel | frickel | frickel -n | | | | | | "tüfteln"
| fried | fried | be- fried -ig -en | der Fried -en | | | |Resultat|
| fried | fried | be/ein/um- fried -en | der Fried -en | | | |Resultat|
| friemel | friemel | friemel -n | | | | | | "basteln"
| frier | frier | frier -en | | | | | |
| frisch | frisch | frisch -en | | frisch | | | |
| frist | frist | be- frist -en | die Frist | | | |Resultat|
| fromm | fromm | frömm -el -n (U) | | fromm | | | |
| fromm | fromm | fromm -en | | fromm | | | |
| fron | fron | frön -en (U) | die Fron | | | |Analogon|
| fron | fron | fron -en | die Fron | | | |Resultat|
| frost | frost | fröst -el -n (U) | | | | |Diminutiv|
| frost | frost | frost -en | der Frost | | | ~ entfrosten |Instrument|
| frotzel | frotzel | frotzel -n | | | | |Stimmgeräusch| "spotten"
| frucht | frucht | frucht -en | die Frucht | | | |Resultat|
| früh | früh | ver- früh -en | | früh | | | |
| früh-stück | frühstück | frühstück -en | das Frühstück | | | |Verzehr|
| fuchs | fuchs | ein- fuchs -en | der Fuchs | | | ~ feixen |Lebewesen| "einarbeiten, Fuchs=junger Student"
